Trial,Chord,Sus,Amp,IsSim,IsMajor,Valence,Arousal,Time
6,14,0,3,0,0,1,-2,2.42961
7,14,0,0,0,0,1,0,2.61513
8,14,0,0,0,0,2,0,3.46619
9,14,0,1,0,0,-1,-1,3.1152
10,14,0,3,0,0,0,-2,3.08098
11,14,0,2,0,0,1,-1,2.6175
12,14,0,2,0,0,0,-2,6.11425
13,14,0,3,0,0,1,-2,4.14893
14,14,0,1,0,0,-1,-1,4.13399
15,14,0,0,0,0,0,0,8.78198
16,14,0,0,0,0,-1,1,5.43292
17,14,0,2,0,0,-1,-1,2.84842
18,14,0,1,0,0,-1,-1,2.26437
19,14,0,3,0,0,-1,-2,1.89792
20,14,0,3,0,0,-1,-2,2.04884
21,14,0,0,0,0,-1,0,3.06569
22,14,0,2,0,0,-1,-2,4.51471
23,14,0,1,0,0,-1,1,4.29967
24,14,0,1,0,0,0,0,4.23291
25,14,0,2,0,0,0,-2,2.51496
26,14,0,0,0,0,1,-1,2.94798
27,14,0,3,0,0,-1,-2,4.11467
28,14,0,2,0,0,0,0,3.01518
29,14,0,3,0,0,0,-2,7.6985
30,14,0,1,0,0,1,0,4.06312
31,14,0,0,0,0,1,1,3.53321
32,14,0,1,0,0,1,1,5.53185
33,14,0,0,0,0,1,2,4.44807
34,14,0,2,0,0,1,0,3.01565
35,14,0,3,0,0,1,-2,2.78185
36,14,0,2,0,0,0,-2,2.29682
37,14,0,0,0,0,0,0,3.03001
38,14,0,3,0,0,0,-2,4.04899
39,14,0,1,0,0,1,0,3.70183
0,14,1,2,0,0,-2,-1,4.48307
1,14,1,2,0,0,-1,0,2.7829
2,14,1,3,0,0,0,1,3.4824
3,14,1,0,0,0,0,0,5.89845
4,14,1,1,0,0,-1,1,5.59845
5,14,1,2,0,0,0,0,4.96549
6,14,1,0,0,0,0,1,4.38217
7,14,1,3,0,0,-1,0,3.16476
8,14,1,0,0,0,-1,2,3.94919
9,14,1,1,0,0,-1,1,2.48177
10,14,1,3,0,0,-1,-2,1.89672
11,14,1,2,0,0,-1,-1,2.61508
12,14,1,2,0,0,0,-1,2.532
13,14,1,3,0,0,-1,-2,2.21676
14,14,1,0,0,0,-1,1,2.4668
15,14,1,1,0,0,0,1,4.09938
16,14,1,0,0,0,1,0,3.38354
17,14,1,3,0,0,1,-2,3.5335
18,14,1,2,0,0,-1,-2,3.49967
19,14,1,1,0,0,0,-1,6.28347
20,14,1,3,0,0,0,-2,5.0161
21,14,1,2,0,0,1,-1,3.21561
22,14,1,0,0,0,-1,1,4.68383
23,14,1,1,0,0,0,-1,8.8326
24,14,1,3,0,0,0,-1,3.38272
25,14,1,1,0,0,2,-1,3.53171
26,14,1,2,0,0,0,-1,5.76463
27,14,1,0,0,0,1,0,3.23301
28,14,1,2,0,0,0,-1,3.44849
29,14,1,0,0,0,-1,0,3.01527
30,14,1,1,0,0,-1,-1,8.0009
31,14,1,3,0,0,-1,-2,3.53213
32,14,1,1,0,0,0,0,2.33118
33,14,1,0,0,0,-1,0,3.71651
34,14,1,2,0,0,-1,0,4.13254
35,14,1,3,0,0,-1,-2,4.06499
36,14,1,1,0,0,1,0,6.33141
37,14,1,0,0,0,2,0,3.56612
38,14,1,2,0,0,-1,0,5.04814
39,14,1,3,0,0,0,-2,3.16766
0,14,2,1,0,0,0,0,4.749
1,14,2,1,0,0,-1,0,3.28277
2,14,2,3,0,0,-1,-2,2.4995
3,14,2,2,0,0,-1,-1,4.18143
4,14,2,3,0,0,-1,-2,2.42968
5,14,2,2,0,0,-1,-1,4.23204
6,14,2,0,0,0,-1,0,4.48172
7,14,2,1,0,0,0,1,5.94781
8,14,2,1,0,0,-2,1,2.78166
9,14,2,3,0,0,-1,0,4.99773
10,14,2,0,0,0,-1,0,5.63053
11,14,2,2,0,0,-1,-1,5.54814
12,14,2,3,0,0,0,-2,3.21491
13,14,2,1,0,0,0,0,2.41669
14,14,2,0,0,0,-1,1,3.53044
15,14,2,2,0,0,-1,0,3.34929
16,14,2,1,0,0,1,1,4.31497
17,14,2,0,0,0,1,1,3.78165
18,14,2,3,0,0,1,-2,2.41528
19,14,2,2,0,0,1,-2,3.54784
20,14,2,2,0,0,0,0,2.51402
21,14,2,3,0,0,-1,0,2.66497
22,14,2,0,0,0,-1,1,2.24937
23,14,2,1,0,0,-2,0,3.69953
24,14,2,3,0,0,-1,0,4.49939
25,14,2,2,0,0,0,0,5.96465
26,14,2,1,0,0,-1,0,3.46773
27,14,2,0,0,0,0,1,6.88219
28,14,2,2,0,0,-1,-1,3.23193
29,14,2,1,0,0,-2,1,2.46372
30,14,2,0,0,0,-2,1,2.64854
31,14,2,3,0,0,-2,0,2.06349
32,14,2,3,0,0,-2,-1,3.25003
33,14,2,0,0,0,-2,1,4.26652
34,14,2,1,0,0,-1,1,3.43127
35,14,2,2,0,0,0,0,5.66654
36,14,2,0,0,0,-1,1,3.49879
37,14,2,1,0,0,-1,0,2.89797
38,14,2,2,0,0,0,0,8.16724
39,14,2,3,0,0,0,-1,4.21388
