Trial,Chord,Sus,Amp,IsSim,IsMajor,Valence,Arousal,Time
0,15,2,0,0,0,0,0,5.01545
1,15,2,0,0,1,1,1,1.71392
2,15,2,3,0,1,0,-1,2.2157
3,15,2,1,0,1,1,0,5.89844
4,15,2,2,0,1,1,-1,5.0323
5,15,2,3,0,1,0,-1,3.16498
6,15,2,0,0,1,1,0,1.76523
7,15,2,1,0,1,1,1,2.23263
8,15,2,2,0,1,1,-1,2.08123
9,15,2,3,0,1,1,-1,2.63247
10,15,2,1,0,1,-1,1,1.29585
11,15,2,0,0,1,-1,1,1.7834
12,15,2,2,0,1,-1,-2,2.70016
13,15,2,0,0,1,1,1,1.74843
14,15,2,3,0,1,1,-1,2.44829
15,15,2,1,0,1,1,0,3.03038
16,15,2,3,0,1,1,-2,3.78105
17,15,2,2,0,1,1,1,1.16342
18,15,2,0,0,1,-2,1,3.08114
19,15,2,1,0,1,0,1,2.71496
20,15,2,1,0,1,1,0,5.71674
21,15,2,3,0,1,0,-2,4.59886
22,15,2,2,0,1,1,0,2.91677
23,15,2,0,0,1,-1,1,1.68107
24,15,2,1,0,1,0,1,1.5478
25,15,2,0,0,1,-1,1,1.98381
26,15,2,3,0,1,1,-1,1.74701
27,15,2,2,0,1,0,-1,3.01561
28,15,2,1,0,1,0,0,2.01337
29,15,2,0,0,1,-1,-1,3.76618
30,15,2,3,0,1,1,0,2.19789
31,15,2,2,0,1,1,-1,2.51563
32,15,2,2,0,1,-1,-1,4.08061
33,15,2,1,0,1,1,0,3.1496
34,15,2,3,0,1,0,-2,3.9644
35,15,2,0,0,1,1,0,1.63106
36,15,2,2,0,1,1,-1,2.18072
37,15,2,3,0,1,-1,-2,2.58089
38,15,2,1,0,1,2,1,2.21439
39,15,2,0,0,1,-1,2,1.76448
0,15,0,1,0,1,0,-1,7.53136
1,15,0,1,0,1,-1,1,4.3152
2,15,0,0,0,1,1,0,3.84851
3,15,0,2,0,1,0,1,11.2817
4,15,0,3,0,1,0,-1,5.43256
5,15,0,1,0,1,1,1,4.19771
6,15,0,0,0,1,1,1,5.01403
7,15,0,2,0,1,0,0,1.88175
8,15,0,0,0,1,1,0,10.7156
9,15,0,3,0,1,1,-2,3.98175
10,15,0,2,0,1,0,-1,3.86391
11,15,0,1,0,1,1,1,3.7476
12,15,0,2,0,1,1,-1,2.26403
13,15,0,1,0,1,1,-1,1.44664
14,15,0,0,0,1,1,-1,4.49824
15,15,0,3,0,1,-1,-2,3.41437
16,15,0,0,0,1,0,-1,40.515
17,15,0,2,0,1,0,-1,3.58356
18,15,0,3,0,1,0,0,1.79639
19,15,0,1,0,1,-1,1,3.76506
20,15,0,0,0,1,0,1,2.74693
21,15,0,2,0,1,2,1,1.89701
22,15,0,1,0,1,2,0,1.86566
23,15,0,3,0,1,-1,-2,1.98042
24,15,0,0,0,1,1,0,1.7169
25,15,0,2,0,1,1,1,1.21437
26,15,0,3,0,1,-1,-2,2.52884
27,15,0,1,0,1,1,0,3.48318
28,15,0,1,0,1,1,0,1.99774
29,15,0,0,0,1,1,-1,2.26471
30,15,0,2,0,1,1,0,3.78071
31,15,0,3,0,1,0,-2,2.397
32,15,0,1,0,1,1,0,2.34911
33,15,0,2,0,1,0,-1,1.71647
34,15,0,3,0,1,-1,-2,2.1665
35,15,0,0,0,1,1,0,1.93386
36,15,0,3,0,1,-1,-2,2.44988
37,15,0,2,0,1,-1,-2,1.78368
38,15,0,0,0,1,0,0,6.06717
39,15,0,1,0,1,0,0,2.25032
0,15,1,0,0,1,-1,2,6.29981
1,15,1,2,0,1,0,1,4.5339
2,15,1,3,0,1,0,-1,1.91553
3,15,1,0,0,1,-2,1,1.64967
4,15,1,1,0,1,0,1,3.76681
5,15,1,2,0,1,1,-1,3.00014
6,15,1,0,0,1,-1,1,3.44995
7,15,1,3,0,1,0,-1,2.21605
8,15,1,1,0,1,1,1,1.41442
9,15,1,0,0,1,1,0,3.89807
10,15,1,2,0,1,0,-1,2.46534
11,15,1,3,0,1,1,-1,1.99779
12,15,1,3,0,1,-1,-2,1.86468
13,15,1,1,0,1,1,0,1.99983
14,15,1,2,0,1,0,1,2.29621
15,15,1,0,0,1,-1,2,1.53243
16,15,1,1,0,1,1,1,1.84833
17,15,1,2,0,1,1,0,1.7839
18,15,1,0,0,1,1,1,1.84759
19,15,1,3,0,1,0,-2,2.34851
20,15,1,3,0,1,0,-1,4.78176
21,15,1,0,0,1,1,-1,2.41484
22,15,1,2,0,1,1,-2,2.78089
23,15,1,1,0,1,1,1,2.2641
24,15,1,2,0,1,1,0,1.58107
25,15,1,3,0,1,0,-2,3.86477
26,15,1,1,0,1,1,0,1.7977
27,15,1,0,0,1,0,1,5.39798
28,15,1,1,0,1,1,1,3.69928
29,15,1,0,0,1,0,1,3.19754
30,15,1,2,0,1,1,0,1.69912
31,15,1,3,0,1,0,-1,1.64813
32,15,1,1,0,1,0,1,2.64788
33,15,1,0,0,1,-1,1,1.9641
34,15,1,3,0,1,1,0,4.56621
35,15,1,2,0,1,1,1,2.04737
36,15,1,2,0,1,2,0,1.81328
37,15,1,0,0,1,-1,1,1.98109
38,15,1,1,0,1,1,0,2.23091
39,15,1,3,0,1,0,-2,1.89725
