Trial,Chord,Sus,Amp,IsSim,IsMajor,Valence,Arousal,Time
0,14,0,3,0,1,0,-2,4.13202
1,14,0,0,0,0,-1,0,2.21574
2,14,0,1,0,0,-1,0,1.73308
3,14,0,3,0,0,0,0,2.19899
4,14,0,1,0,0,0,1,3.01681
5,14,0,2,0,0,-1,0,4.09834
6,14,0,3,0,0,-1,-1,2.18065
7,14,0,0,0,0,1,2,2.81471
8,14,0,0,0,0,1,2,1.79952
9,14,0,1,0,0,1,0,1.71398
10,14,0,3,0,0,-1,-2,3.48142
11,14,0,2,0,0,0,-1,2.43012
12,14,0,2,0,0,1,-1,2.21293
13,14,0,3,0,0,1,-2,3.13025
14,14,0,1,0,0,2,1,2.51495
15,14,0,0,0,0,2,1,2.28133
16,14,0,0,0,0,1,0,1.83071
17,14,0,2,0,0,1,0,1.9503
18,14,0,1,0,0,0,0,2.21521
19,14,0,3,0,0,0,-2,2.64622
20,14,0,3,0,0,0,-2,2.26374
21,14,0,0,0,0,1,1,2.19684
22,14,0,2,0,0,1,0,1.83286
23,14,0,1,0,0,0,1,2.04759
24,14,0,1,0,0,-1,1,5.71502
25,14,0,2,0,0,1,0,1.89756
26,14,0,0,0,0,2,1,5.7644
27,14,0,3,0,0,1,0,1.93052
28,14,0,2,0,0,1,0,1.86437
29,14,0,3,0,0,1,-2,2.71476
30,14,0,1,0,0,1,0,4.76463
31,14,0,0,0,0,1,-1,3.4333
32,14,0,1,0,0,0,1,2.44936
33,14,0,0,0,0,1,1,2.31409
34,14,0,2,0,0,1,0,2.81475
35,14,0,3,0,0,0,-2,3.64829
36,14,0,2,0,0,1,0,1.99999
37,14,0,0,0,0,1,0,7.73159
38,14,0,3,0,0,1,-1,1.96505
39,14,0,1,0,0,1,0,1.98213
0,14,1,2,0,0,1,0,6.23158
1,14,1,2,0,0,-1,0,3.21424
2,14,1,3,0,0,0,-1,1.83228
3,14,1,0,0,0,-2,2,2.78288
4,14,1,1,0,0,-1,2,3.91523
5,14,1,2,0,0,0,1,1.83054
6,14,1,0,0,0,0,2,2.18244
7,14,1,3,0,0,0,-1,3.36384
8,14,1,0,0,0,-2,1,2.74766
9,14,1,1,0,0,-1,1,2.1642
10,14,1,3,0,0,0,-2,4.2474
11,14,1,2,0,0,0,-1,2.03008
12,14,1,2,0,0,1,-1,1.76466
13,14,1,3,0,0,0,0,2.24732
14,14,1,0,0,0,1,-1,2.9974
15,14,1,1,0,0,1,-1,2.39821
16,14,1,0,0,0,2,0,1.84893
17,14,1,3,0,0,0,-1,1.73037
18,14,1,2,0,0,1,0,1.96616
19,14,1,1,0,0,-1,1,1.69767
20,14,1,3,0,0,0,-1,6.71409
21,14,1,2,0,0,0,-1,2.31352
22,14,1,0,0,0,-1,1,1.61402
23,14,1,1,0,0,1,0,1.74821
24,14,1,3,0,0,1,-2,2.23152
25,14,1,1,0,0,-1,-1,2.28246
26,14,1,2,0,0,1,0,1.61429
27,14,1,0,0,0,-1,2,2.40027
28,14,1,2,0,0,1,-1,1.64695
29,14,1,0,0,0,-1,0,3.36702
30,14,1,1,0,0,-1,0,2.04721
31,14,1,3,0,0,1,0,1.89701
32,14,1,1,0,0,0,1,2.2478
33,14,1,0,0,0,0,-1,1.79871
34,14,1,2,0,0,1,-1,2.01565
35,14,1,3,0,0,0,-2,3.06721
36,14,1,1,0,0,1,0,3.9474
37,14,1,0,0,0,1,0,1.49991
38,14,1,2,0,0,1,0,1.53068
39,14,1,3,0,0,1,0,2.18199
0,14,2,1,0,0,-2,0,3.66554
1,14,2,1,0,0,0,-1,1.96312
2,14,2,3,0,0,0,-1,1.81671
3,14,2,2,0,0,1,-1,1.96448
4,14,2,3,0,0,1,0,1.31482
5,14,2,2,0,0,1,1,3.43098
6,14,2,0,0,0,-2,2,1.64816
7,14,2,1,0,0,-1,2,2.11383
8,14,2,1,0,0,1,-1,1.58161
9,14,2,3,0,0,0,-1,2.36481
10,14,2,0,0,0,2,1,1.63199
11,14,2,2,0,0,1,-2,2.11426
12,14,2,3,0,0,0,0,3.56616
13,14,2,1,0,0,1,0,1.48071
14,14,2,0,0,0,-1,1,2.46601
15,14,2,2,0,0,0,1,1.71626
16,14,2,1,0,0,1,0,1.38228
17,14,2,0,0,0,-1,2,2.1309
18,14,2,3,0,0,1,-1,1.44938
19,14,2,2,0,0,1,0,1.99768
20,14,2,2,0,0,0,-1,2.34769
21,14,2,3,0,0,-1,-1,1.86443
22,14,2,0,0,0,0,1,1.54774
23,14,2,1,0,0,1,-1,1.34711
24,14,2,3,0,0,-2,-1,2.84774
25,14,2,2,0,0,-2,-1,1.51458
26,14,2,1,0,0,-1,0,4.79762
27,14,2,0,0,0,-2,1,1.24871
28,14,2,2,0,0,0,-1,1.64769
29,14,2,1,0,0,1,0,1.81431
30,14,2,0,0,0,-1,1,1.91362
31,14,2,3,0,0,0,-1,5.50068
32,14,2,3,0,0,0,-2,1.58097
33,14,2,0,0,0,-1,2,1.74917
34,14,2,1,0,0,0,1,1.78215
35,14,2,2,0,0,1,-1,1.44786
36,14,2,0,0,0,1,0,1.43116
37,14,2,1,0,0,-1,0,1.64753
38,14,2,2,0,0,1,-1,1.51401
39,14,2,3,0,0,0,-2,2.64726
